0x91ce816845e1d9fca3fb1e5f21e492a68377e886,43989
0xba5debf38d8b334a4565481113d20efdbf3f046e,22634
0xeb74c6e3c046e16190dfefb7d3cba84db5790cc4,16594
0x9e773d536af3c044193450a56d9c6cf39d4807ce,15009
0x2492a8400813764952c89a88232f1221858d9c10,12025
0xfef19a5bda8258e67dbad9f9ba3d5c1f5ef673db,10282
0xfdec300375196264d3a235362cd31c8b711a7934,10246
0x2eb73cdf547e81789edd0d2670ae8bf045d52e0d,10001
0x5e03abc56a207c0894c7e79f4195f0695dea32df,9038
0xd4c380f3b7ce813a2693c64365a7e47bb124bd40,8115
0xf7185bd5c3cdef2d3c2ed0181b286b1028e042f7,8000
0x725f7f1aeba0c542be98a32611827d3372be1198,7765
0xa57930732f6deb41164788b28bd62e2e3bd99c19,7038
0x754d94ad76c8ceeb8a273ec458fa9f8e065f9ed6,6242
0xc35d8e0043b24baa3fc61e11732493215f7f3f6f,5727
0x4d447503283b0182afc87e8f118d76585ffbda80,5200
0x13b3a50f3947476eda74fe191344524e2d2d28e5,4366
0x15c74560c75153bd8faf03799d1a5998cb56d48b,4246
0x297a63b59f768d2b7f29a2c931e08460009bf453,4000
0xfd0cfa279081a42fd872678fbca5c2709efc8d7e,3759
0x0185c555216bbd14f138a92730682a8e9fbc9e00,3726
0xd690b90480010dcd01e13a26835d67d1c71fdae8,3215
0xaf6f5a8dde1432cb07ae1d92952d2971c7e58fea,3153
0xa4251f2423b3ab3077fba2452cbebc20cc9f70ed,3094
0xe5603e4188abc6903c911c89313bc80498f39840,11606
0x0502af8e196df38e4b828a884e761f29538f9f6c,2445
0x29af0036eb56ae8273815b250acc0c49eaf5c3da,2349
0x2cad7d48f48fdebacd6cdaaf9dbc6320e84ea98f,4371
0xd836da33a6629548271eb9ef4f62d083376eb4a6,2278
0x98207ce6fe4b982c6fceb9ba083cefeda77009c7,2264
0x88be3b27391e167484b334b96d2cf30e0dc48223,2232
0xa24d1c248cbc82128044cbe141465667fb82478e,2108
0x946a000cfb2ed0f0dc7f0bde5639f7afbaa53cd0,2000
0x119cbad90c38eac1f2de5b6d854af4dbdf587154,1943
0x7674dfb6149aa3f0c522f6c054c1dca23963a390,1669
0x5a840bdb92dcc1678499b184085083a1e84c4932,1500
0xf6b80487996c7d47a8407236689383cab5258765,1500
0x2fdd1fbb9793f4ac4e51ceb7a75660371796c19a,1463
